"","...1","PID","M_edu","F_edu","Pol_ideo","GPA","Extraversion_T","Agreeableness_T","Conscientiousness_T","Neuroticism_T","Openness_T"
"190",190,198,"8","4",4,4.96,2.83333333333333,4.33333333333333,4.16666666666667,3.75,4.16666666666667
"191",191,199,"1","1",1,3.52,3.75,3.58333333333333,3.75,3.16666666666667,3.75
"192",192,200,"2","4",4,3.48,3.83333333333333,4.16666666666667,3.25,3.16666666666667,4.66666666666667
"193",193,201,"7","6",2,3.54,3.83333333333333,3.83333333333333,3.25,3.5,4.41666666666667
"194",194,202,NA,NA,2,3.51,2.75,4.41666666666667,4.41666666666667,3,2.83333333333333
"195",195,203,"2","1",4,3.11,3.41666666666667,4.16666666666667,3.58333333333333,3.08333333333333,3.66666666666667
"196",196,204,"7","7",2,3.99,2.5,4.16666666666667,3.58333333333333,3.41666666666667,4.5
"197",197,205,"4","4",3,4,4.16666666666667,4.41666666666667,3.91666666666667,3.08333333333333,4.5
"198",198,206,"7","7",2,3.94,3.75,3.91666666666667,3.33333333333333,1.91666666666667,3.75
"199",199,207,"6","3",1,4,4.25,2.66666666666667,3.5,3.66666666666667,4.25
"200",200,208,"1","1",2,3.34,2.66666666666667,3.58333333333333,2.83333333333333,3.75,3.33333333333333
"201",201,209,"1","1",2,3.4,2.16666666666667,4.58333333333333,3,2.08333333333333,3.16666666666667
"202",202,210,"8","7",2,3.6,3.33333333333333,3.08333333333333,1.33333333333333,4.5,3.25
"203",203,211,"4","4",1,3.7,2.5,2.16666666666667,3.91666666666667,1.33333333333333,4.75
"204",204,212,"1","1",4,3.5,2.66666666666667,3.41666666666667,3.75,4,3.25
"205",205,213,"4","4",2,3.97,2.41666666666667,3.75,2.66666666666667,3.5,2.66666666666667
"206",206,214,"5","7",0,3.57,3.25,4.33333333333333,3.5,3,5
"207",207,215,"5","5",4,3.84,3.33333333333333,4.5,4.16666666666667,2.91666666666667,3.91666666666667
"208",208,216,"4","4",2,4,3.25,4.25,3.25,2.75,4.41666666666667
"209",209,217,"6","8",2,3.66,3.75,3.58333333333333,2.41666666666667,2.41666666666667,4.25
"210",210,218,"4","4",5,3.98,2.16666666666667,3.58333333333333,3,3.75,3.5
"211",211,219,"5","7",3,4,4.75,4.75,4.83333333333333,2.25,4.66666666666667
"212",212,220,"4","5",5,3.5,3.33333333333333,3.5,3.25,2.91666666666667,3.41666666666667
"213",213,221,"8","5",4,4,3.41666666666667,4.83333333333333,4.83333333333333,2.16666666666667,4.25
"214",214,222,"5","4",2,2.21,2.33333333333333,4,2.16666666666667,4,4.75
"215",215,223,"1","1",3,3.6,4,4.5,4.25,1.83333333333333,4.25
"216",216,224,NA,"1",3,3.4,2.83333333333333,3.66666666666667,3.58333333333333,2.66666666666667,3.91666666666667
"217",217,225,"4","5",4,3.9,4.08333333333333,4.5,4.83333333333333,2.33333333333333,4.5
"218",218,226,"6","6",2,3.7,2.91666666666667,2.66666666666667,1.91666666666667,3.5,4
"219",219,227,"4","4",2,3.46,4.41666666666667,3.75,4.08333333333333,2.75,4.33333333333333
"220",220,228,"5","5",6,3.5,4.08333333333333,3.58333333333333,3.25,2.25,3.25
"221",221,229,"4","1",3,3.3,4.5,3.16666666666667,3.5,3.25,5
"222",222,230,"4","7",2,3.7,2.25,4.66666666666667,2.66666666666667,3.5,4.58333333333333
"223",223,231,"1",NA,3,3.98,4.66666666666667,3.41666666666667,4.75,3.25,4.91666666666667
